symbol,provider_symbol,asset_class,region,provider
asx/BRX,BRX.AX,stock,AU,yahoo
asx/BRY,BRY.AX,stock,AU,yahoo
asx/BSA,BSA.AX,stock,AU,yahoo
asx/BSL,BSL.AX,stock,AU,yahoo
asx/BSN,BSN.AX,stock,AU,yahoo
asx/BSX,BSX.AX,stock,AU,yahoo
asx/BTE,BTE.AX,stock,AU,yahoo
asx/BTI,BTI.AX,stock,AU,yahoo
asx/BTL,BTL.AX,stock,AU,yahoo
asx/BTM,BTM.AX,stock,AU,yahoo
asx/BTN,BTN.AX,stock,AU,yahoo
asx/BTR,BTR.AX,stock,AU,yahoo
asx/BUB,BUB.AX,stock,AU,yahoo
asx/BUR,BUR.AX,stock,AU,yahoo
asx/BUS,BUS.AX,stock,AU,yahoo
asx/BUX,BUX.AX,stock,AU,yahoo
asx/BUY,BUY.AX,stock,AU,yahoo
asx/BVR,BVR.AX,stock,AU,yahoo
asx/BVS,BVS.AX,stock,AU,yahoo
asx/BWF,BWF.AX,stock,AU,yahoo
asx/BWN,BWN.AX,stock,AU,yahoo
asx/BWP,BWP.AX,stock,AU,yahoo
asx/BXB,BXB.AX,stock,AU,yahoo
asx/BXN,BXN.AX,stock,AU,yahoo
asx/C1X,C1X.AX,stock,AU,yahoo
asx/C29,C29.AX,stock,AU,yahoo
asx/C79,C79.AX,stock,AU,yahoo
asx/C7A,C7A.AX,stock,AU,yahoo
asx/CAA,CAA.AX,stock,AU,yahoo
asx/CAE,CAE.AX,stock,AU,yahoo
asx/CAF,CAF.AX,stock,AU,yahoo
asx/CAN,CAN.AX,stock,AU,yahoo
asx/CAQ,CAQ.AX,stock,AU,yahoo
asx/CAR,CAR.AX,stock,AU,yahoo
asx/CAT,CAT.AX,stock,AU,yahoo
asx/CAV,CAV.AX,stock,AU,yahoo
asx/CAY,CAY.AX,stock,AU,yahoo
asx/CAZ,CAZ.AX,stock,AU,yahoo
asx/CBA,CBA.AX,stock,AU,yahoo
asx/CBE,CBE.AX,stock,AU,yahoo
asx/CBEO,CBEO.AX,stock,AU,yahoo
asx/CBL,CBL.AX,stock,AU,yahoo
asx/CBO,CBO.AX,stock,AU,yahoo
asx/CBY,CBY.AX,stock,AU,yahoo
asx/CC5,CC5.AX,stock,AU,yahoo
asx/CC9,CC9.AX,stock,AU,yahoo
asx/CCA,CCA.AX,stock,AU,yahoo
asx/CCE,CCE.AX,stock,AU,yahoo
asx/CCG,CCG.AX,stock,AU,yahoo
asx/CCL,CCL.AX,stock,AU,yahoo
asx/CCM,CCM.AX,stock,AU,yahoo
asx/CCO,CCO.AX,stock,AU,yahoo
asx/CCP,CCP.AX,stock,AU,yahoo
asx/CCR,CCR.AX,stock,AU,yahoo
asx/CCV,CCV.AX,stock,AU,yahoo
asx/CCX,CCX.AX,stock,AU,yahoo
asx/CDA,CDA.AX,stock,AU,yahoo
asx/CDE,CDE.AX,stock,AU,yahoo
asx/CDO,CDO.AX,stock,AU,yahoo
asx/CDP,CDP.AX,stock,AU,yahoo
asx/CDR,CDR.AX,stock,AU,yahoo
asx/CDT,CDT.AX,stock,AU,yahoo
asx/CEH,CEH.AX,stock,AU,yahoo
asx/CEL,CEL.AX,stock,AU,yahoo
asx/CEN,CEN.AX,stock,AU,yahoo
asx/CF1,CF1.AX,stock,AU,yahoo
asx/CG1,CG1.AX,stock,AU,yahoo
asx/CGF,CGF.AX,stock,AU,yahoo
asx/CGO,CGO.AX,stock,AU,yahoo
asx/CGR,CGR.AX,stock,AU,yahoo
asx/CGS,CGS.AX,stock,AU,yahoo
asx/CHC,CHC.AX,stock,AU,yahoo
asx/CHI,CHI.AX,stock,AU,yahoo
asx/CHL,CHL.AX,stock,AU,yahoo
asx/CHM,CHM.AX,stock,AU,yahoo
asx/CHN,CHN.AX,stock,AU,yahoo
asx/CHR,CHR.AX,stock,AU,yahoo
asx/CHRCB,CHRCB.AX,stock,AU,yahoo
asx/CHW,CHW.AX,stock,AU,yahoo
asx/CIA,CIA.AX,stock,AU,yahoo
asx/CIN,CIN.AX,stock,AU,yahoo
asx/CIP,CIP.AX,stock,AU,yahoo
asx/CIW,CIW.AX,stock,AU,yahoo
asx/CKA,CKA.AX,stock,AU,yahoo
asx/CKF,CKF.AX,stock,AU,yahoo
asx/CL8,CL8.AX,stock,AU,yahoo
asx/CLA,CLA.AX,stock,AU,yahoo
asx/CLG,CLG.AX,stock,AU,yahoo
asx/CLU,CLU.AX,stock,AU,yahoo
asx/CLV,CLV.AX,stock,AU,yahoo
asx/CLW,CLW.AX,stock,AU,yahoo
